date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:08:09	9978/9978	---M--	200	added ('OK')	image/jpeg	etag:%2226fa-55f95da2d0d66%22	https://www.piguetgalland.ch/app/uploads/2017/06/Daniel-Varela-02_224x313-e1502112543620-224x314.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Daniel-Varela-02_224x313-e1502112543620-224x314.jpg	(from https://www.piguetgalland.ch/fr/presentation-de-piguet-galland/)
05:08:10	65113/65113	---M--	200	added ('OK')	image/jpeg	etag:%22fe59-55d8a1389ffb7%22	https://www.piguetgalland.ch/app/uploads/2017/05/history-slide-512x370.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/05/history-slide-512x370.jpg	(from https://www.piguetgalland.ch/fr/presentation-de-piguet-galland/)
05:08:11	11323/11323	---M--	200	added ('OK')	image/jpeg	etag:%222c3b-55f95d83c8825%22	https://www.piguetgalland.ch/app/uploads/2017/06/Carine-Casteu-9_224x313-e1502112312928-224x314.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Carine-Casteu-9_224x313-e1502112312928-224x314.jpg	(from https://www.piguetgalland.ch/fr/presentation-de-piguet-galland/)
05:08:30	71375/71375	---M--	200	added ('OK')	image/jpeg	etag:%22116cf-55f95051bb1a3%22	https://www.piguetgalland.ch/app/uploads/2017/07/123366447_Nosengagements-800x530.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/07/123366447_Nosengagements-800x530.jpg	(from https://www.piguetgalland.ch/fr/nos-engagements/)
05:08:35	77215/77215	---M--	200	added ('OK')	image/jpeg	etag:%2212d9f-55f9504de0c67%22	https://www.piguetgalland.ch/app/uploads/2017/07/120048436_340x340_vous_ecouter.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/07/120048436_340x340_vous_ecouter.jpg	(from https://www.piguetgalland.ch/fr/nos-engagements/)
05:08:37	1235648/1235648	---M--	200	added ('OK')	image/jpeg	etag:%2212dac0-55d8a15ae3758%22	https://www.piguetgalland.ch/app/uploads/2017/06/Fotolia_106152636_Subscription_Monthly_M.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/Fotolia_106152636_Subscription_Monthly_M.jpg	(from https://www.piguetgalland.ch/fr/6-regles-pour-investir-en-toute-serenite/)
05:08:42	299026/299026	---M--	200	added ('OK')	image/jpeg	etag:%2249012-55f9505a4b7b9%22	https://www.piguetgalland.ch/app/uploads/2017/07/123366447_Nosengagements.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/07/123366447_Nosengagements.jpg	(from https://www.piguetgalland.ch/fr/nos-engagements/)
05:08:52	111865/111865	---M--	200	added ('OK')	image/jpeg	etag:%221b4f9-55f950487226e%22	https://www.piguetgalland.ch/app/uploads/2017/07/91864897_vouschallenenger_340x340.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/07/91864897_vouschallenenger_340x340.jpg	(from https://www.piguetgalland.ch/fr/nos-engagements/)
05:08:53	32643/32643	---M--	200	added ('OK')	image/jpeg	etag:%227f83-55f957ff1d465%22	https://www.piguetgalland.ch/app/uploads/2017/07/Art_BCV_PiguetGalland-510x510.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/07/Art_BCV_PiguetGalland-510x510.jpg	(from https://www.piguetgalland.ch/fr/nos-engagements/)
05:09:00	114183/114183	---M--	200	added ('OK')	image/jpeg	etag:%221be07-55f95042b94f4%22	https://www.piguetgalland.ch/app/uploads/2017/07/101065653_vous_rassurer_340x340.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/07/101065653_vous_rassurer_340x340.jpg	(from https://www.piguetgalland.ch/fr/nos-engagements/)
05:09:04	74700/74700	---M--	200	added ('OK')	image/jpeg	etag:%22123cc-55f9580e701f8%22	https://www.piguetgalland.ch/app/uploads/2017/07/arbre%c3%a0vent-510x510.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/07/arbre%c3%a0vent-510x510.jpg	(from https://www.piguetgalland.ch/fr/nos-engagements/)
05:09:05	78690/78690	---M--	200	added ('OK')	image/jpeg	etag:%2213362-55f95d73d2934%22	https://www.piguetgalland.ch/app/uploads/2017/06/DSC_0502-e1502113044461-650x394.jpg	C:/My%20Web%20Sites/pig/www.piguetgalland.ch/app/uploads/2017/06/DSC_0502-e1502113044461-650x394.jpg	(from https://www.piguetgalland.ch/fr/nos-sites/)
